id_lokasi,dmgratio_cr_mmi500,dmgratio_mcf_mmi500,dmgratio_mur_mmi500,dmgratio_lightwood_mmi500,dmgratio_cr_mmi250,dmgratio_mcf_mmi250,dmgratio_mur_mmi250,dmgratio_lightwood_mmi250,dmgratio_cr_mmi100,dmgratio_mcf_mmi100,dmgratio_mur_mmi100,dmgratio_lightwood_mmi100
572.0,1.0,1.0,0.939981231076719,1.0,1.0,1.0,0.9917550814883481,1.0,0.9833465543424761,0.9973681208598737,0.9731128179321866,1.0
573.0,1.0,1.0,0.940016208548022,1.0,1.0,1.0,0.9921041750810254,1.0,0.9842724257905713,0.9992578559401648,0.9742583383587179,1.0
574.0,1.0,1.0,0.9401024220446645,1.0,0.9975336362050826,1.0,0.9903826755286169,1.0,0.9785171600904985,0.9913236878573973,0.9677862530571272,1.0
575.0,1.0,1.0,0.9402474051855041,1.0,0.9976098062580679,1.0,0.9904219518487146,1.0,0.9784056426592711,0.9912298468588117,0.9676690583743078,1.0
576.0,1.0,1.0,0.9402556096306026,1.0,0.9966284324132917,1.0,0.9898754966968881,1.0,0.9685889205232043,0.9857062146943094,0.9580502265004852,1.0
577.0,1.0,1.0,0.9403389386954106,1.0,0.9903409805337855,1.0,0.9836096271728455,1.0,0.954483472069397,0.9800150042245613,0.945137726011377,0.9959896776780346
578.0,1.0,1.0,0.9409722020655195,1.0,1.0,1.0,0.9923620309727117,1.0,0.9868369049474252,1.0,0.9779191711788268,1.0
579.0,1.0,1.0,0.9411311348751896,1.0,1.0,1.0,0.9923701556207232,1.0,0.9859482230890955,1.0,0.9765546627760765,1.0
580.0,1.0,1.0,0.9411970177432609,1.0,0.9927630784302943,1.0,0.9866894236562284,1.0,0.9633224631029973,0.9835756554288364,0.953237370074166,1.0
581.0,1.0,1.0,0.9413879929401592,1.0,1.0,1.0,0.9914954031023299,1.0,0.9798812088436728,0.9925903076260286,0.96923223485054,1.0
582.0,1.0,1.0,0.9419524521022743,1.0,0.9973362855624156,1.0,0.9902785241829254,1.0,0.9742461007946555,0.9884143793283882,0.96342736605407,1.0
583.0,1.0,1.0,0.9419982121213977,1.0,0.9992170985110683,1.0,0.9911390318504337,1.0,0.9812309616602597,0.9941204052761914,0.9706940521257748,1.0
584.0,1.0,1.0,0.9420702296475556,1.0,0.9987350708598252,1.0,0.9909453901844183,1.0,0.9805767920923676,0.9933380542113133,0.9699804523435468,1.0
585.0,1.0,1.0,0.9423249637514696,1.0,1.0,1.0,0.9917064501233764,1.0,0.9816533279428795,0.9946731011362278,0.9711614079310524,1.0
586.0,1.0,1.0,0.9428364293894443,1.0,0.9951991794088636,1.0,0.9889077564382133,1.0,0.9703572254825524,0.9864769228482473,0.9596903332112108,1.0
587.0,1.0,1.0,0.9430074449926262,1.0,0.9893514279891136,1.0,0.9820884221460922,1.0,0.9376603619791988,0.97149483102525,0.929770857115739,0.991590177742567
588.0,1.0,1.0,0.9432117734357944,1.0,0.9925819784103231,1.0,0.9864913262954175,1.0,0.9594415228866803,0.9820423594587651,0.9496859446683592,0.9984025275738498
589.0,1.0,1.0,0.9435345078520483,1.0,1.0,1.0,0.9922766239985441,1.0,0.9846356105728562,1.0,0.9747288177479896,1.0
590.0,1.0,1.0,0.9438450611996249,1.0,0.9977094428809982,1.0,0.9904725640147157,1.0,0.9771776168631601,0.990274202277342,0.9663898710960868,1.0
591.0,1.0,1.0,0.9438658093354917,1.0,0.9984238363691113,1.0,0.9908109070061643,1.0,0.9804573706353115,0.9932039258360333,0.969851308922733,1.0
592.0,1.0,1.0,0.9440695198868001,1.0,0.9943850275394579,1.0,0.9882530963168037,1.0,0.9701492247225275,0.986383728110712,0.9594959872891261,1.0
593.0,1.0,1.0,0.944377349519507,1.0,0.9936143090023695,1.0,0.9875556820043562,1.0,0.9726359831459811,0.9875596194164902,0.9618548008519235,1.0
594.0,1.0,1.0,0.9444532403468074,1.0,0.9916027748255674,1.0,0.9853316388390732,1.0,0.96282642649648,0.9833801510204224,0.952784241186349,1.0
595.0,1.0,1.0,0.9446478497385566,1.0,0.9986056699628656,1.0,0.9908903976527681,1.0,0.9808621406972783,0.9936690574992858,0.9702903626377364,1.0
596.0,1.0,1.0,0.9448784430632352,1.0,1.0,1.0,0.9923706243182927,1.0,0.9862159205624418,1.0,0.9769542415089327,1.0
